Teams,Year,3PM,3PA,3P%,3P% share in Total Points,,,,,
Toronto Raptors,2018-19,12.4,33.8,36.6,32.5,,,,,
Toronto Raptors,2019-20,13.8,37,37.4,36.7,,,,,
Utah Jazz,2013-14,6.6,19.2,34.4,20.85,,,,,
Utah Jazz,2014-15,7.4,21.7,34.3,23.3,,,,,
Utah Jazz,2015-16,8.5,23.9,35.5,26.1,,,,,
Utah Jazz,2016-17,9.6,26,37.2,28.6,,,,,
Utah Jazz,2017-18,10.8,29.6,36.6,31.1,,,,,
Utah Jazz,2018-19,12.1,34,35.6,32.5,,,,,
Utah Jazz,2019-20,13.4,35.2,38,36.1,,,,,
Washington Wizards,2013-14,7.9,20.8,38,23.53,,,,,
Washington Wizards,2014-15,6.1,16.8,36,18.6,,,,,
Washington Wizards,2015-16,8.6,24.2,35.8,24.8,,,,,
Washington Wizards,2016-17,9.2,24.8,37.2,25.3,,,,,
Washington Wizards,2017-18,9.9,26.5,37.5,27.9,,,,,
Washington Wizards,2018-19,11.3,33.3,34.1,29.7,,,,,
Washington Wizards,2019-20,12,32.6,36.8,31.5,,,,,
Charlotte Hornets,2013-14,6.3,17.9,35.1,19.5,,,,,
Charlotte Hornets,2014-15,6.6,19.9,33.1,20.2,,,,,
Charlotte Hornets,2015-16,6.5,18.4,35.2,19.8,,,,,
Charlotte Hornets,2016-17,10.7,31.6,33.8,30.3,,,,,
Charlotte Hornets,2017-18,12.7,35.7,35.6,35.7,,,,,
Charlotte Hornets,2018-19,12.8,36.2,35.3,34.2,,,,,
Charlotte Hornets,2019-20,13.1,38.1,34.3,35.2,,,,,
New Orleans Pelicans,2013-14,5.9,15.9,37.3,17.76,,,,,
New Orleans Pelicans,2014-15,7.1,19.3,37,21.4,,,,,
New Orleans Pelicans,2015-16,8.6,23.8,36,25.1,,,,,
New Orleans Pelicans,2016-17,9.4,26.8,35,27,,,,,
New Orleans Pelicans,2017-18,10.2,28.2,36.2,27.4,,,,,
New Orleans Pelicans,2018-19,10.3,29.9,34.4,26.8,,,,,
New Orleans Pelicans,2019-20,13.6,36.9,37,35.2,,,,,
